Title,Description,Content,Category,Language,Source URL,Tags,Resource ID,Group ID,Department,Channels,Is Public,Status
Malankara Orthodox Syrian Church — Home (Current Catholicos: Baselios Marthoma Mathews III),Catholicate News Downloads E-Mail Gallery Contact Info Since AD 52 Apostolic foundation St.,"Catholicate News Downloads E-Mail Gallery Contact Info Since AD 52 Apostolic foundation St. Thomas in India Living ministry Shepherds of the faithful Sacred tradition Faith handed down About Us The Malankara Orthodox Syrian Church The Malankara Orthodox Syrian Church traces its origins to the Apostolic ministry of St. Thomas in India. We are a community rooted in ancient traditions, committed to preserving the faith handed down through generations while serving our members with love, compassion, and spiritual guidance. Know More Heritage Our Saints & Blesseds St. Basilios Yeldho Learn more St. Geevarghese Learn more St. Gregorios Of Parumala Learn more Malankara Metropolitan Catholicos of the East and Malankara Metropolitan His Holiness Baselios Marthoma Mathews III His Holiness Baselios Marthoma Mathews III was enthroned as the Catholicos of the East & Malankara Metropolitan (the Supreme Head of the Malankara Orthodox Syrian Church of India) on Friday, 15th October 2021. His Holiness is the 92nd Primate on the Apostolic Throne of St. Thomas. View Profile Liturgical Calendar 3 June 2026 english malayalam Loading readings… Our Presence Malankara Orthodox Syrian Church Worldwide Locations Places Where We Are Situated — Our Church is Situated Around The World South West America North East America UK Africa India More Locations India 0 5000km N",General,English,https://www.mosc-temp.com/mosc-redesign,mosc-redesign,,,MOSC Connect,Web,true,Published
Administration,"The Malankara Orthodox Syrian Church is administered according to its Constitution, Canon Law, and the structures of the Holy Episcopal Synod, Malankara Association, Managing Committee, Working Committee, and bodies at diocesan and parish levels.","Administration The Malankara Orthodox Syrian Church is administered according to its Constitution, Canon Law, and the structures of the Holy Episcopal Synod, Malankara Association, Managing Committee, Working Committee, and bodies at diocesan and parish levels. Constitution & Structure The Constitution of the Malankara Orthodox Church The church had no written constitution until 1934, but was governed by consensus, traditions and precedence. It was the vision of Mor Dionysius, Vattasseril to have a clearly defined uniform... Read More The Canon Law of the Malankara Orthodox Church The Canon Law accepted and followed by the Orthodox church of Malankara was collected and codified by Mar Gregorios Bar Hebraeus, Catholicos of Edessa (AD. 1226-1286) in the thirteenth century.... Read More The Holy Episcopal Synod The Episcopal Synod with the Catholicos as its president is the apex body of all bishops. The authority of the synod is final and binding. It has exclusive rights and... Read More Malankara Association It was in the Mulamthuruthy synod summoned by the patriarch peter III in 1876 that resolved to have an elected body called the Malankara Syria Christian Association to manage and... Read More The Managing Committee In the Mulamthuruthy synod which formulated the Malankara association had laid down the provision for the managing committee, a smaller body to look into the financial and other administrative matters.... Read More The Working Committee It is a small body of members nominated by the Malankara Metropolitan. This body prepares the agenda for the Managing Committee and helps the Malankara Metropolitan in his administrative functions.... Read More The Diocesan General Body Every diocese will have a Diocesan Assembly. The Diocesan bishop presides over the meetings. All matters related to the Diocese is discussed and decided in the General body assembly including... Read More The Parish Managing Committee The members of the Parish Managing Committee excluding the priests will be elected by the Parish Assembly and their term of office will be one year. Every Parish Managing Committee... Read More The Parish General Body Every parish is within the frame work of the church constitution. It is neither outside the umbrella of the constitution nor an independent entity. Each Parish has a general body.... Read More Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs",General,English,https://www.mosc-temp.com/mosc-redesign/administration,administration,,,MOSC Connect,Web,true,Published
The Constitution of the Malankara Orthodox Church,"The church had no written constitution until 1934, but was governed by consensus, traditions and precedence.","The Constitution of the Malankara Orthodox Church The church had no written constitution until 1934, but was governed by consensus, traditions and precedence. It was the vision of Mor Dionysius, Vattasseril to have a clearly defined uniform constitution to govern the church administration. He initiated action in this regard and appointed a sub-committee with O. M. Cherian as convener to submit a draft constitution. The committee members had discussed the fundamental issues with the Metropolitan in several rounds. However it was not finalized and passed (materialized) in his life time. After his demise, the constitution was presented in the Malankara Christian Association meeting of Dec 26, 1934, held at M. D. Seminary. It was adopted and brought to force. Three times the constitution was amended to meet specific situations and needs. It only shows that the church is alive to meet the challenges that arise from time to time. The validity of the constitution was challenged by the Patriarch party in the Court, but the Supreme Court has given its final verdict declaring the validity of the Constitution. Every member of the Church is bound by the rules and regulations laid down in the Constitution. The Constitution upholds the autonomy and autocephaly of the Malankara Orthodox Church. It is Episcopal in its (polity) and not congregational. At the same time it upholds democratic principle by safeguarding the rights and privileges of the lay people. It was framed at a time when the Patriarch of Antioch was held in high esteem and hence his limited role is included. The constitution enshrines the fundamental features of the Church, provides direction for its internal administration and preserves its integrity and autonomy. The essential features of the Church are provided in the preamble. The first article emphasizes the bond of relationship between the Church of Syria and Malankara. The second article deals with the foundation of the Malankara Church by St. Thomas and the primacy of the Catholicos. The third article refers to the name of the church and the fourth about the faith, traditions etc., and the fifth about the canons governing the administration of the Church. The whole constitution conceives the Malankara Church as self-sufficient in all her requirements, be it temporal, ecclesiastical or spiritual in nature and upholds that the Malankara Orthodox church is rightly autocephalous in character. Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs Administration Structure The Constitution of the Malankara Orthodox Church The Canon Law of the Malankara Orthodox Church The Holy Episcopal Synod Malankara Association The Managing Committee The Working Committee The Diocesan General Body The Parish Managing Committee The Parish General Body Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs",General,English,https://www.mosc-temp.com/mosc-redesign/administration/administration,administration,,,MOSC Connect,Web,true,Published
The Canon Law of the Malankara Orthodox Church,"The Canon Law accepted and followed by the Orthodox church of Malankara was collected and codified by Mar Gregorios Bar Hebraeus, Catholicos of Edessa (AD.","The Canon Law of the Malankara Orthodox Church The Canon Law accepted and followed by the Orthodox church of Malankara was collected and codified by Mar Gregorios Bar Hebraeus, Catholicos of Edessa (AD. 1226-1286) in the thirteenth century. He was a versatile genius who wrote about thirty books on a variety of subjects. He was a great scholar in church History and Canon Law of the Church. Having carefully and judiciously scrutinized the verdicts of the Church Fathers and the decrees of the provincial and ecumenical councils he collected them, edited and classified under different heads. The original work in Syriac contains forty chapters and is called by the name 'hoodoyo canon'. The word 'hoodoyo' means ""explanations"". The original syriac manuscript was edited and printed in Paris in 1898 by Paul Bedjan. The Pampakuda Konat Library possesses a copy of this ancient canon which in every detail agrees with the Paris publication. The Patriarch party in Malankara maintains a varied version of this Canon which was prepared here to give more power and claims to the Patriarch of Antioch. The original Syriac canon contains forty chapters of which the first ten chapters have been translated into Malayalam by the late lamented Malpan Fr. Abraham Konat. In his editorial note it is mentioned that the remaining thirty chapters contain subjects that are irrelevant for the Malankara Church, but connected with the Middle East society of that period. The author of the 'Hoodoyo canon' has simply presented the verdict of different church fathers and early councils, but he does not make any positive and conclusive pronouncements. Certainly the Canon needs revision and updating to meet the challenges and needs of the Malankara Church in the modern times. The Church leaders who framed the constitution of the Malankara Orthodox Church have used this Canon as a basis. The ten chapters contain matters related to church politics, sacraments, feasts and fasts, burial rites etc. Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs Administration Structure The Constitution of the Malankara Orthodox Church The Canon Law of the Malankara Orthodox Church The Holy Episcopal Synod Malankara Association The Managing Committee The Working Committee The Diocesan General Body The Parish Managing Committee The Parish General Body Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs",General,English,https://www.mosc-temp.com/mosc-redesign/administration/he-canon-law-of-the-malankara-orthodox-church,he-canon-law-of-the-malankara-orthodox-church,,,MOSC Connect,Web,true,Published
Malankara Association,It was in the Mulamthuruthy synod summoned by the patriarch peter III in 1876 that resolved to have an elected body called the Malankara Syria Christian Association to manage and control all the religions and social concerns of the whole church.,"Malankara Association It was in the Mulamthuruthy synod summoned by the patriarch peter III in 1876 that resolved to have an elected body called the Malankara Syria Christian Association to manage and control all the religions and social concerns of the whole church. The constitution has clearly defined the composition and representation of the association. In article 71: a priest two laymen elected by each parish general body and the members of the existing managing committee shall be members of the association. This was later amended in time with Supreme Court directive. Now the representation of the lay people is based on the number of parishioner. The Malankara metropolitan is the president and the bishops having administrative charge of Diocese shall be vice-presidents of the association. The association is the body that elects the members of the managing committee, bishops and the Catholicos Malankara metropolitan. Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs Administration Structure The Constitution of the Malankara Orthodox Church The Canon Law of the Malankara Orthodox Church The Holy Episcopal Synod Malankara Association The Managing Committee The Working Committee The Diocesan General Body The Parish Managing Committee The Parish General Body Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs",General,English,https://www.mosc-temp.com/mosc-redesign/administration/malankara-association,malankara-association,,,MOSC Connect,Web,true,Published
The Diocesan General Body,Every diocese will have a Diocesan Assembly.,The Diocesan General Body Every diocese will have a Diocesan Assembly. The Diocesan bishop presides over the meetings. All matters related to the Diocese is discussed and decided in the General body assembly including the budget and accounts. If necessary the Malankara Metropolitan can also convene the diocesan General body. The representation of the lay people is based on the number of parishioners. The term of members will be five years. Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs Administration Structure The Constitution of the Malankara Orthodox Church The Canon Law of the Malankara Orthodox Church The Holy Episcopal Synod Malankara Association The Managing Committee The Working Committee The Diocesan General Body The Parish Managing Committee The Parish General Body Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs,General,English,https://www.mosc-temp.com/mosc-redesign/administration/the-diocesan-general-body,the-diocesan-general-body,,,MOSC Connect,Web,true,Published
The Holy Episcopal Synod,The Episcopal Synod with the Catholicos as its president is the apex body of all bishops.,"The Holy Episcopal Synod The Episcopal Synod with the Catholicos as its president is the apex body of all bishops. The authority of the synod is final and binding. It has exclusive rights and privileges in the matter of upholding the faith of the church, its discipline and order of Apostolic Succession. As regards temporal matters the church is guided by the Malankara Syrian Christian Association. The bishops lead the diocese assigned to them by the synod. Presently there are 31 bishops including H. H, The Catholicos. Constitution Sections 102-109 Section 102 to 109 of The constitution of Malankara Orthodox church deals about the Episcopal Synod. It is as follows: 102 . There shall be an Episcopal Synod in Malankara. 103 . All Prelates in Malankara Orthodox Syrian Church who have been duly approved as per the constitution shall be members of this Synod. 104 . The Catholicos shall be the President of the Synod. 105 . The Catholicos shall convene the Synod and preside over the Synod. 106 . When there is no Catholicos or if there is any accusation against the Catholicos and the Catholicos does not convene the Synod for considering such accusation, the Senior Metropolitan shall convene the Synod and preside over the Synod. 107 . The Episcopal Synod shall have the authority to decide matters concerning faith, order and discipline. When the Synod shall meet for this purpose the Synod may select such persons as the Synod may deem needed for consultation. 108 . No one shall have the right to alter the faith of the Church. But in case there may arise any dispute as to what is faith, the Episcopal synod above said may decide the matter and the final decision about this shall vest with the Ecumenical Synod. 109 . The Episcopal Synod may in consultation with the Association Managing committee appoint sub-committees for the purpose of Theological Education, Mission Work, Sunday school and similar matters. View all Episcopal Synod Members Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs Administration Structure The Constitution of the Malankara Orthodox Church The Canon Law of the Malankara Orthodox Church The Holy Episcopal Synod Malankara Association The Managing Committee The Working Committee The Diocesan General Body The Parish Managing Committee The Parish General Body Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs",General,English,https://www.mosc-temp.com/mosc-redesign/administration/the-holy-episcopal-synod,the-holy-episcopal-synod,,,MOSC Connect,Web,true,Published
The Managing Committee,"2, Sector 1C Gandhinagar, Gujarat - 382007 Ph: 9898616801 sajitheverkattil@gmail.","The Managing Committee 2, Sector 1C Gandhinagar, Gujarat - 382007 Ph: 9898616801 sajitheverkattil@gmail.com Sri. Abraham Mathew P. O. Box: 619 Postal Code - 112 Ruwi, Sultanate of Oman Ph: 00968 99366496 abkodikkal@gmail.com Sri. Sunil Thomas Grace Villa 10,Shyam Nagar NX Indore - 452 010 Ph: 9981329389 suniladr2008@gmail.com DELHI Rev. Fr. Thomas John Mavelil St. Mary's Orthodox Church 10-11 Shankar Vihar, Muralipura Jaipur-302012. Mob: 9013882234 tjmavelil1966@gmail.com Sri. Jiji K. Ninan RZ-49, 2nd Floor, Flat No. 6 Mahindra Park, Uttamnagar New Delhi- 110059 Ph: 9818001320 jkninan@gmail.com Sri.Alexander Daniel A-714, Sector-19 Noida, U.P. 2201301 Mob: 08860013422 Ph Res: 011-26268014 alexanderdaniel1951@gmail.com Sri. Sherin Mathew Varghese H1-13, Krishnapuram, G.T. Road, Kanpur, U P - 208 007 Ph: 98390 29584 mathew@taborfreight.in Adv. Koshy Jacob 104, Second Floor, D 1, Janakpuri, New Delhi 110058. Mob-9810264780 advkoshyjacob@gmail.com NORTH EAST AMERICA Rev.Fr. Blessen Varughese Unit 102 - 1401 Plains Road East, Burlington, ON L7R 0C2 Phone No. 647 606 8761 blessanachen@gmail.com Sri. Shaji K. Varghese 18 Trojan Ave Parisppany, New Jersey 07054 USA Ph: +1 862 812 4371 shajinj1@gmail.com Sri. Koppara Binu Samuel 38- Tenafly Drive New Hyde Park, NY 11040 Ph: 516 993 1355 kopparasamuel@yahoo.com SOUTH WEST AMERICA Rev.Fr. Philip Abraham 14341 Sequoia Road Canyon Country, CA 91387 Ph: 6617142364 roiachen2022@gmail.com Sri. Ninan Mathews 15667 92 Ave Surrey B.C, V4N 3C3, Canada Ph: 6043132819 mathews53@gmail.com Sri.Philip Mathew 8855 Harpers Glen Ct Jacksonville, Florida-32256 Ph- 9045213533 wilsonuzhathil.fl@gmail.com sukhyatra@gmail.com UK-EUROPE-AFRICA Rev.Fr. George Thankachen 33 Boyne Hall Drogheda Co. louth Republic of Ireland, A92 N1FC Ph: 00353870693450 frgeorget@gmail.com Sri. Soji T. Mathew 31 Galpins Rd Thornton Helath,Croydon, CR7 6EL Ph: 0044 7939342568 sojithekepadickal@yahoo.com Dr. Sen Kallumpuram Cedar Dew 19, Wyatts Close Rickmansworth, UK, WD3 5TF Ph: 00447968120070 senvarghese@hotmail.com (NOMINATED MEMBERS) Rev.Fr.Shaji Mathews St. Mary's Orthdox Church Sector 9, Faridabad Haryana - 121006 Mob-9205914191 frshajimathews@gmail.com Rev. Fr. Dr. Varghese Varghese Kalloor House Vattakunnu P.O., Meenadom, Kottayam 686 516. 9497706112 frvvmdm@gmail.com Rev.Fr.Reji Mathew Orthodox Theological Seminary Kottayam Mob-9656792760 rejiachen1959@gmail.com Rev.Fr. Job Davis Kanjirathinkal House, St. Vincent Convent Road, Palarivattom, Kochi 682 025. Mob-9447775950, 9961518611 deepujobdavis@gmail.com Rev.Fr.Joseph Mathew Kanjirathumkuzhiyil Near. Enkakkad Railway Gate Engakkad P.O- 680 589 Ottupara, Thrissur District Mobile: 9446319656 frjossymathew@gmail.com Rev. Fr. Dr. Ninan V. George Paramon Bethel, Near KSRTC Bus Station Pandalam 689501, Mob.94474 71641 frninanvg@gmail.com Rev.Fr.Kuriakose Varghese Mar Anthonios Ashram Mallappally Mob-9745318839 varghesekuriakose@gmail.com Rev. Fr. C P Alexander Chempakaparambil House Kalladikkode P O Palakkadu,Pin-678596 Mob-9447262468,9074116742 cpalexander70@gmail.com Rev. Fr.N.I. John Nadayathumkara Vemom P. O., Mananthavady Wayanad - 670 645 Ph : 9446640792, 95674190005 frnadayathumkara@gmail.com Rev. Fr. M.C. Poulose St. Gregorios Medical Mission Hospital, Parumala, Mannar 689626. Mob: 9605500104 frmcpoulose@gmail.com Rev. Fr. Dr. M.O. John Post Box 611 Malankara Sabha Deepam, Kottayam - 686 001 Mob: 9447464202 frmojohn@yahoo.com Sri.Oommen George 8. Sprian. Brook. Parkway Drive. Elmsford 10523. NY Mob- 001914-623-3055 mariamma.george@yahoo.com Adv. Biju Oommen Muringasseril Eraviperoor P. O, Thiruvalla, Pathanamthitta 689 542. Mob- 9447595550 muringasseril.bijuoommen@gmail.com Adv.Joseph John Kannayil Veedu Bank Road, Kayamkulam – 690 502. Mob-9447908558 josephjohnadvocate@yahoo.in Sri. A.K. Joseph Assariparambil House, Kummanam P.O., Kottayam 686 035. Mob: 9447410002 Sri. Sobichen Abraham Eravikulangara Devagiri P.O Kangazha-686555 Ph: 9447149447 pavankottayam@gmail.com Sri. Jiju P. Varghese Palasseril, PMG Road, Mannamangalam P.O Thrissur – 680 014 Mob: 9400400100 jijupvarghese@gmail.com Sri. Johnson G. Oommen Mount Carmel House, Puthoor P.O., Kottarakkara 691 507 Mob: 9447073571 stgregorioscashew@gmail.com Sri. Jacob Mathew ( Jojo ) National Air Cargo, West Wing 4, Block B, Dubai Airport Freezone, Dubai, UAE 54429. Mob: 00971 505518663 jmatthew@nationalaircargo.com Sri.John Mathai P.O. Box : 22209 Sharjah UAE Mob-+971504811206 johnmcm@eim.ae Sri.K.V.Thomas Thomsun P.O. Box-6419 Dubai, UAE thomas@thomsun.ac Mob-00971504523443, 556419001 Sri. Geevarghese Yohannan Kuzhivila Puthenveedu, Nellikunnam P.O., Kottarakkara 691623. Mob-0096899327300 geevarghese.yohannan@gmail.com Er. Varkey John Mamoottil Karippasseril, House No. 4, Nirmi Homes, Kanjirampara Thiruvananthapuram 695030 Mob: 9846021022 varkeyjohn@hotmail.com Sri. Aju George Chundamannil, Vakayar P.O., Konni 689698. Mob: 9447123321 ajuvakayar@gmail.com Sri. Elanjickal Koshy Mathew (Shaji) P.O. Box 2252, Havally 22023, Haw Ally, Kuwait Mob-0096599669174 mathskuwait@gmail.com Sri.K.V.Mathew P. O box 32119 Doha, Qatar. Mob- +97455872787, +97430690491 India No 9747796372 mathewkaruvalil@gmail.com Sri. V. K. Varghese Vysiamparambil House Vallarpadam Panambukad Ernakulam -682504 Ph: 9388608103 enquiry@veekayvees.com Prof.Dr.D.K.John Kottamukalil (H) Kannamkode , Adoor P O-691523 Mob-9447028345 dkjohnadoor@gmail.com Sri.Varghese Kurian (Kochumon Madaparambil ) Madaparambil (H) Kadavoor P O Njarakad , Kandanad-686671 Mob-9745019159 varghesekurian42@gmail.com Sri.P.T.Alias Parappallil (H) Thrikothamangalam P O Puthupally-686011 Mob-9895395100 eliaspt@mm.co.in Sri.K.V.Thomas Vettimoottil (H) 317, AKG Nagar Peroorkada P O Trivandrum-5 Mob-9447525444 kvthomas1949@gmail.com Sri. K.V. Jacob Kanjiraplavil Sony Villa Omalloor P.O., Pathanamthitta 689647. Mob: 9895779202 kvjacobmts@yahoo.com Sri.Saji P.Mathew Palackal (H) Okkal P O Perumbavoor-683550 Mob- 9388828105 mathewsajip@gmail.com Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs Administration Structure The Constitution of the Malankara Orthodox Church The Canon Law of the Malankara Orthodox Church The Holy Episcopal Synod Malankara Association The Managing Committee The Working Committee The Diocesan General Body The Parish Managing Committee The Parish General Body Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs",General,English,https://www.mosc-temp.com/mosc-redesign/administration/the-managing-committee,the-managing-committee,,,MOSC Connect,Web,true,Published
The Parish General Body,Every parish is within the framework of the church constitution.,"The Parish General Body Every parish is within the framework of the church constitution. It is neither outside the umbrella of the constitution nor an independent entity. Each Parish has a general body. The membership is confined to all male and female members above the age of 21 and who have made their annual confession and communion, and who are not defaulters in the parish dues for more than six months. All matters related to the parish are discussed and decided by this body. This general body elects the 'church managing committee', 'the secretary', and the 'lay trustee'. The parish managing committee, the trustee and the secretary are elected every year. Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs Administration Structure The Constitution of the Malankara Orthodox Church The Canon Law of the Malankara Orthodox Church The Holy Episcopal Synod Malankara Association The Managing Committee The Working Committee The Diocesan General Body The Parish Managing Committee The Parish General Body Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs",General,English,https://www.mosc-temp.com/mosc-redesign/administration/the-parish-general-body,the-parish-general-body,,,MOSC Connect,Web,true,Published
The Parish Managing Committee,The members of the Parish Managing Committee excluding the priests will be elected by the Parish Assembly and their term of office will be one year.,"The Parish Managing Committee The members of the Parish Managing Committee excluding the priests will be elected by the Parish Assembly and their term of office will be one year. Every Parish Managing Committee will have a minimum of 5 and a maximum of 15 members excluding the Priests. The Parish Assembly will decide the required number of members within these limits. In the event of any vacancy arising in the Parish Managing Committee, the remaining members of the committee may fill up such vacancy by co-option from the members of the Parish Assembly. If in any circumstances special to any Parish, it is found necessary to extend the term of the Parish Managing Committee, the Parish Assembly may with the special permission of the Diocesan Metropolitan extend the term of office of that Parish Managing Committee to a period for three years. Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs Administration Structure The Constitution of the Malankara Orthodox Church The Canon Law of the Malankara Orthodox Church The Holy Episcopal Synod Malankara Association The Managing Committee The Working Committee The Diocesan General Body The Parish Managing Committee The Parish General Body Kalpana Downloads Institutions Training Publications Spiritual Organisations Theological Seminaries Calendar Lectionary News & Events Online Resources Gallery Contact Info FAQs",General,English,https://www.mosc-temp.com/mosc-redesign/administration/the-parish-managing-committee,the-parish-managing-committee,,,MOSC Connect,Web,true,Published
